shard,model,field,why_missing,what_i_tried
amd-epyc,EPYC 9655,boost_clock,not found in tier-1 source,searched newegg/lenovo/HPE listings; base clock only reported
amd-epyc,EPYC 9655P,tdp,not found in tier-1 source,searched newegg listing; single-socket P variant TDP not listed
amd-epyc,EPYC 9655P,boost_clock,not found in tier-1 source,same as above
amd-epyc,EPYC 9565,base_clock,conflicting secondary sources,two search summaries gave differing figures (3.1 vs 3.15GHz) that may have been conflated with EPYC 9455; left blank
amd-epyc,EPYC 9565,boost_clock,not found in tier-1 source,no reseller/press listing found with boost clock
amd-epyc,EPYC 9535,base_clock,sources disagree (Newegg 2.4GHz vs Lenovo 2.2GHz),used Newegg value with medium confidence; logged conflict
amd-epyc,EPYC 9535,boost_clock,not found in tier-1 source,no listing found with boost clock
amd-epyc,EPYC 9555,boost_clock,not found in tier-1 source,newegg listing gave base clock only
amd-epyc,EPYC 9555,tdp,not found in tier-1 source,no reseller listing included TDP
amd-epyc,EPYC 9555P,boost_clock,not found in tier-1 source,newegg listing gave base clock only
amd-epyc,EPYC 9555P,tdp,not found in tier-1 source,no reseller listing included TDP
amd-epyc,EPYC 9455P,base_clock,not found in tier-1 source,central computer listing omitted clock for P variant
amd-epyc,EPYC 9455P,boost_clock,not found in tier-1 source,same as above
amd-epyc,EPYC 9455P,tdp,not found in tier-1 source,same as above
amd-epyc,EPYC 9475F,tdp,not found in tier-1 source,STH article gave price but not TDP for this SKU
amd-epyc,EPYC 9355P,boost_clock,not found in tier-1 source,ibfusion/topcpu listings gave base clock only
amd-epyc,EPYC 9255,boost_clock,not found in tier-1 source,newegg listing gave base clock only
amd-epyc,EPYC 9255,tdp,not found in tier-1 source,no reseller listing included TDP
amd-epyc,EPYC 9275F,boost_clock,not found in tier-1 source,newegg listing gave base clock only
amd-epyc,EPYC 9275F,tdp,not found in tier-1 source,no reseller listing included TDP
amd-epyc,EPYC 9115,boost_clock,not found in tier-1 source,newegg listing gave base clock only
amd-epyc,EPYC 9115,tdp,not found in tier-1 source,no reseller listing included TDP
amd-epyc,EPYC 9135,boost_clock,not found in tier-1 source,newegg listing gave base clock only
amd-epyc,EPYC 9135,tdp,not found in tier-1 source,no reseller listing included TDP
amd-epyc,EPYC 9175F,base_clock,not found in tier-1 source,STH article gave boost/TDP/price but not base clock
amd-epyc,EPYC 9755,tdp_config_up,not independently AMD-confirmed,secondary reporting varies on cTDP band; used common industry figure with medium confidence
amd-epyc,EPYC 9554P,base_clock,assumed identical to non-P 9554 not independently confirmed,no P-specific reseller listing with clocks found; used AMD page as reference but figure not explicitly shown for P suffix
amd-epyc,EPYC 9454P,base_clock,assumed identical to non-P 9454 not independently confirmed,no P-specific reseller listing with clocks found
amd-epyc,EPYC 9254,base_clock,not found in tier-1 source,cputronic/topcpu listings did not show clock values
amd-epyc,EPYC 9254,boost_clock,not found in tier-1 source,same as above
amd-epyc,EPYC 9734,base_clock,not found in tier-1 source,storagereview article gave TDP/price but not clocks
amd-epyc,EPYC 9734,boost_clock,not found in tier-1 source,same as above
amd-epyc,EPYC 7713P,base_clock/boost_clock,"P-series single-socket SKU clocks assumed identical to non-P 7713 sibling per AMD convention, not independently found in a P-specific spec sheet.",Searched AMD product pages and Thomas-Krenn wiki; found 7713 confirmed but no separate 7713P datasheet with explicit clocks.
amd-epyc,EPYC 7663P,tdp_config_up,cTDP-up value not found for P variant (only base TDP 240W confirmed).,Checked AMD ARK-style product page; only base TDP listed.
amd-epyc,EPYC 7643P,(clocks corroboration),"Clocks match confirmed 7643, but no P-specific datasheet found; assumed identical.",AMD product page for 7643P lists cores/TDP but boost clock figure not independently distinct.
amd-epyc,EPYC 7543,source_tier,Only tier-3 (Tom's Hardware launch article) corroboration found; no AMD product page or tier-1 source located for standalone 7543 (non-P).,Searched AMD site and Newegg; found 7543P listings readily but not standalone 7543 retail listing.
amd-epyc,EPYC 7543P,(clocks corroboration),Clocks assumed identical to 7543; no separate P-specific confirmation beyond AMD page cores/TDP.,AMD product page confirms cores/TDP but not independently distinct boost clock listing.
amd-epyc,EPYC 7443,base_clock/boost_clock,Non-P SKU clocks inferred from confirmed 7443P values (AMD keeps P/non-P clocks identical); not independently found for non-P part number.,Searched Newegg/AMD for standalone 7443 listing; only found 7443P retail/spec pages.
amd-epyc,EPYC 7303P,(clocks corroboration),Clocks assumed identical to 7303; AMD P-series page confirms cores/TDP but boost clock not separately re-verified.,Checked AMD product page for 7303P.
amd-epyc,EPYC 7313,source_tier,Only tier-3 source (WikiChip) found for standalone 7313 clocks; no AMD product page located directly.,Searched AMD site; found 7313P page but not distinct 7313 (non-P) AMD listing.
amd-epyc,EPYC 7313P,(clocks corroboration),Clocks assumed identical to 7313 (WikiChip-sourced); not independently confirmed via AMD P-specific page beyond cores/TDP.,Checked AMD product page for 7313P.
amd-epyc,EPYC 7203,launch_price_usd/source_tier,Only tier-3 source (WCCFTech leak/launch roundup) found; no AMD or retailer tier-1/tier-2 listing located.,Searched Newegg and AMD site; low-core-count Milan SKUs (7203/7203P) had sparse retail listings at time of search.
