vendor,family,segment,codename,arch,model,model_full,cores,p_cores,e_cores,threads,base_clock,boost_clock,all_core_boost,l2_cache,l3_cache,tdp,tdp_config_up,process,socket,socket_count,pcie_gen,pcie_lanes,mem_type,mem_channels,mem_speed,mem_max_capacity,ecc,cxl,upi_links,igpu_model,igpu_cores,igpu_clock,npu_tops,launch_date,launch_price_usd,part_number,source_url,source_tier,confidence,notes
AMD,mi100,datacenter,,MI100 (CDNA),MI100,AMD Instinct MI100,120,,,,,1.50 GHz,,,,300W,,7 nm,,,4.0,16,HBM2,,1229 GB/s,32 GB,yes,,,,,,,2020-Q4,,,https://www.amd.com/en/products/accelerators/instinct/mi100.html,1,high,23.1 TFLOPS FP32; PCIe card
AMD,mi200,datacenter,,MI200 Series (CDNA 2),MI210,AMD Instinct MI210,104,,,,,1.70 GHz,,,,300W,,6 nm,,,4.0,16,HBM2e,,1638 GB/s,64 GB,yes,,,,,,,2022-Q1,,,https://www.amd.com/en/products/accelerators/instinct/mi200/mi210.html,1,high,"22.6 TFLOPS FP32; PCIe card, single GCD"
AMD,mi200,datacenter,,MI200 Series (CDNA 2),MI250,AMD Instinct MI250,208,,,,,1.60 GHz,,,,500W,,6 nm,,,4.0,,HBM2e,,3277 GB/s,128 GB,yes,,,,,,,2021-Q4,,,https://www.amd.com/en/products/accelerators/instinct/mi200.html,1,medium,"~45 TFLOPS FP32; OAM, dual GCD (2x104 CU); clock/TDP corroborated only vs MI250X family page, not a dedicated MI250 spec page"
AMD,mi200,datacenter,,MI200 Series (CDNA 2),MI250X,AMD Instinct MI250X,220,,,,,1.70 GHz,,,,500W,,6 nm,,,4.0,,HBM2e,,3277 GB/s,128 GB,yes,,,,,,,2021-Q4,,,https://www.amd.com/en/products/accelerators/instinct/mi200/mi250x.html,1,high,"47.9 TFLOPS FP32; OAM, dual GCD (2x110 CU)"
AMD,mi300,datacenter,,MI300 Series (CDNA 3),MI300A,AMD Instinct MI300A,228,,,,,2.10 GHz,,,256 MB,550W,760W,5 nm,,,5.0,,HBM3,,5300 GB/s,128 GB,yes,yes,,,,,,2023-Q4,,,https://www.amd.com/en/products/accelerators/instinct/mi300/mi300a.html,1,high,"122.6 TFLOPS FP32; APU: 228 CDNA3 CUs + 24 Zen4 CPU cores (3x8-core chiplets), unified HBM3 memory; OAM; tdp=550W air-cooled base, 760W liquid-cooled config"
AMD,mi300,datacenter,,MI300 Series (CDNA 3),MI300X,AMD Instinct MI300X,304,,,,,2.10 GHz,,,,750W,,5 nm,,,5.0,,HBM3,,5300 GB/s,192 GB,yes,,,,,,,2023-Q4,,,https://www.amd.com/en/products/accelerators/instinct/mi300/mi300x.html,1,medium,"163.4 TFLOPS FP32 (same silicon as MI325X, clock-matched); OAM"
AMD,mi300,datacenter,,MI300 Series (CDNA 3),MI325X,AMD Instinct MI325X,304,,,,,2.10 GHz,,,,1000W,,5 nm,,,5.0,,HBM3E,,6000 GB/s,256 GB,yes,,,,,,,2024-Q4,,,https://www.amd.com/en/products/accelerators/instinct/mi300/mi325x.html,1,high,163.4 TFLOPS FP32; OAM
AMD,mi350,datacenter,,MI300 Series (CDNA 4),MI350X,AMD Instinct MI350X,256,,,,,2.20 GHz,,4 MB,256 MB,1000W,,3 nm,,,5.0,,HBM3E,,8000 GB/s,288 GB,yes,,,,,,,2025-Q2,,,https://www.amd.com/en/products/accelerators/instinct/mi350/mi350x.html,1,high,"144.2 TFLOPS FP32; OAM air-cooled, CDNA4, 8 XCD x32CU"
AMD,mi350,datacenter,,MI300 Series (CDNA 4),MI355X,AMD Instinct MI355X,256,,,,,2.40 GHz,,4 MB,256 MB,1400W,,3 nm,,,5.0,,HBM3E,,8000 GB/s,288 GB,yes,,,,,,,2025-Q2,,,https://www.amd.com/en/products/accelerators/instinct/mi350/mi355x.html,1,high,"157.3 TFLOPS FP32; OAM liquid-cooled, CDNA4, 8 XCD x32CU"
AMD,EPYC,datacenter,Bergamo,Zen 4c,EPYC 9734,AMD EPYC 9734,112,,,224,,,,,256 MB,340W,,TSMC 5nm,SP5,2,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2023-Q2,9600,,https://www.storagereview.com/review/amd-epyc-9754s-review-a-cpu-with-a-very-particular-set-of-skills,3,high,Base/boost clock not corroborated from a reliable listing; left blank. | tdp corrected in audit
AMD,EPYC,datacenter,Bergamo,Zen 4c,EPYC 9754,AMD EPYC 9754,128,,,256,2.25 GHz,3.10 GHz,3.10 GHz,,256 MB,360W,400W,TSMC 5nm,SP5,2,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2023-Q2,11900,,https://www.amd.com/en/products/processors/server/epyc/4th-generation-9004-and-8004-series/amd-epyc-9754.html,1,high,
AMD,EPYC,datacenter,Bergamo,Zen 4c,EPYC 9754S,AMD EPYC 9754S,128,,,128,2.25 GHz,3.10 GHz,,,256 MB,360W,,TSMC 5nm,SP5,2,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2023-Q2,10200,,https://www.amd.com/en/products/processors/server/epyc/4th-generation-9004-and-8004-series/amd-epyc-9754s.html,1,high,SMT disabled: 128 threads = 128 cores.
AMD,mi8,datacenter,Fiji XT (dual),GCN 3,MI8,AMD Radeon Instinct MI8,128,,,,,0.85 GHz,,,,300W,,28 nm,,,3.0,16,HBM,,1 TB/s,8 GB,,,,,,,,2017-06-20,,,https://wccftech.com/amd-firepro-s9300-x2-dual-fiji/,3,medium,"13.9 TFLOPS FP32 aggregate; 0.87 TFLOPS FP64; dual-GPU passively-cooled server card, silicon shared with FirePro S9300 X2; no FP64 hardware acceleration on Fiji; cores field = combined CUs of both GPUs (128 = 2x64)"
AMD,EPYC,datacenter,Genoa,Zen 4,EPYC 9124,AMD EPYC 9124,16,,,32,3.00 GHz,3.70 GHz,,16 MB,64 MB,200W,,TSMC 5nm,SP5,2,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2022-Q4,,,https://www.newegg.com/amd-epyc-9124-socket-sp5/p/N82E16819113819,3,high,
AMD,EPYC,datacenter,Genoa,Zen 4,EPYC 9174F,AMD EPYC 9174F,16,,,32,4.10 GHz,4.40 GHz,4.15 GHz,,256 MB,320W,400W,TSMC 5nm,SP5,2,5.0,128,DDR5,12,DDR5-4800,6 TB,yes,yes,,,,,,2022-Q4,,,https://www.amd.com/en/products/processors/server/epyc/4th-generation-9004-and-8004-series/amd-epyc-9174f.html,1,high,
