vendor,kind,gpu_family_id,family,series,segment,codename,arch,model,model_full,cores,p_cores,e_cores,threads,base_clock,boost_clock,all_core_boost,l2_cache,l3_cache,tdp,tdp_config_up,process,socket,socket_count,pcie_gen,pcie_lanes,mem_type,mem_channels,mem_speed,mem_max_capacity,ecc,cxl,upi_links,igpu_model,igpu_cores,igpu_clock,npu_tops,launch_date,launch_price_usd,part_number,source_url,source_tier,confidence,notes
Intel,cpu,,Xeon,2nd Gen Intel Xeon Scalable Processors,datacenter,Cascade Lake-SP,,Xeon Bronze 3204,Intel Xeon Bronze 3204 Processor,6,,,6,1.90 GHz,1.90 GHz,,,8.25 MB,85W,,14 nm,FCLGA3647,2,3.0,48,DDR4-2133,6,2133 MHz,1 TB,yes,,2,,,,,2019-Q2,239,,https://ark.intel.com/,1,high,Discontinued
Intel,cpu,,Xeon,2nd Gen Intel Xeon Scalable Processors,datacenter,Cascade Lake Refresh,,Xeon Bronze 3206R,Intel Xeon Bronze 3206R Processor,8,,,8,1.90 GHz,1.90 GHz,,,11 MB,85W,,14 nm,FCLGA3647,2,3.0,48,DDR4-2133,6,2133 MHz,1 TB,yes,,2,,,,,2020-Q1,343,,https://ark.intel.com/,1,high,Discontinued
Intel,cpu,,Xeon,2nd Gen Intel Xeon Scalable Processors,datacenter,Cascade Lake-SP,,Xeon Gold 5215,Intel Xeon Gold 5215 Processor,10,,,20,2.50 GHz,3.40 GHz,,,13.75 MB,85W,,14 nm,FCLGA3647,4,3.0,48,DDR4-2667,6,2667 MHz,1 TB,yes,,2,,,,,2019-Q2,1424,,https://ark.intel.com/,1,high,
Intel,cpu,,Xeon,2nd Gen Intel Xeon Scalable Processors,datacenter,Cascade Lake-SP,,Xeon Gold 5215L,Intel Xeon Gold 5215L Processor,10,,,20,2.50 GHz,3.40 GHz,,,13.75 MB,85W,,14 nm,FCLGA3647,4,3.0,48,DDR4-2667,6,2667 MHz,4.5 TB,yes,,2,,,,,2019-Q2,420,,https://ark.intel.com/,1,high,Discontinued
Intel,cpu,,Xeon,2nd Gen Intel Xeon Scalable Processors,datacenter,Cascade Lake-SP,,Xeon Gold 5217,Intel Xeon Gold 5217 Processor,8,,,16,3.00 GHz,3.70 GHz,,,11 MB,115W,,14 nm,FCLGA3647,4,3.0,48,DDR4-2667,6,2667 MHz,1 TB,yes,,2,,,,,2019-Q2,1744,,https://ark.intel.com/,1,high,Discontinued
Intel,cpu,,Xeon,2nd Gen Intel Xeon Scalable Processors,datacenter,Cascade Lake-SP,,Xeon Gold 5218,Intel Xeon Gold 5218 Processor,16,,,32,2.30 GHz,3.90 GHz,,,22 MB,125W,,14 nm,FCLGA3647,4,3.0,48,DDR4-2667,6,2667 MHz,1 TB,yes,,2,,,,,2019-Q2,1483,,https://ark.intel.com/,1,high,Discontinued
Intel,cpu,,Xeon,2nd Gen Intel Xeon Scalable Processors,datacenter,Cascade Lake-SP,,Xeon Gold 5218B,Intel Xeon Gold 5218B Processor,16,,,32,2.30 GHz,3.90 GHz,,,22 MB,125W,,14 nm,FCLGA3647,4,3.0,48,DDR4-2667,6,2667 MHz,1 TB,yes,,2,,,,,2019-Q2,4173,,https://ark.intel.com/,1,high,Discontinued
Intel,cpu,,Xeon,2nd Gen Intel Xeon Scalable Processors,datacenter,Cascade Lake-SP,,Xeon Gold 5218N,Intel Xeon Gold 5218N Processor,16,,,32,2.30 GHz,3.70 GHz,,,22 MB,110W,,14 nm,FCLGA3647,4,3.0,48,DDR4-2667,6,2667 MHz,1 TB,yes,,2,,,,,2019-Q2,1420,,https://ark.intel.com/,1,high,
Intel,cpu,,Xeon,2nd Gen Intel Xeon Scalable Processors,datacenter,Cascade Lake Refresh,,Xeon Gold 5218R,Intel Xeon Gold 5218R Processor,20,,,40,2.10 GHz,4.00 GHz,,,27.5 MB,125W,,14 nm,FCLGA3647,2,3.0,48,DDR4-2667,6,2667 MHz,1 TB,yes,,2,,,,,2020-Q1,1483,,https://ark.intel.com/,1,high,Discontinued
Intel,cpu,,Xeon,2nd Gen Intel Xeon Scalable Processors,datacenter,Cascade Lake-SP,,Xeon Gold 5218T,Intel Xeon Gold 5218T Processor,16,,,32,2.10 GHz,3.80 GHz,,,22 MB,105W,,14 nm,FCLGA3647,4,3.0,48,DDR4-2667,6,2667 MHz,1 TB,yes,,2,,,,,2019-Q2,1572,,https://ark.intel.com/,1,high,
