Intel® Product Specification Comparison
09/10/2026 12:31:09 PM
 ,Intel® Arc™ Pro A30M Graphics ,Intel® Arc™ A750 Graphics ,Intel® Arc™ A770 Graphics (8GB) ,Intel® Arc™ A310 Graphics ,Intel® Arc™ A380 Graphics ,Intel® Arc™ A580 Graphics ,Intel® Arc™ A350M Graphics ,Intel® Arc™ A730M Graphics ,Intel® Arc™ A770M Graphics ,Intel® Arc™ A370M Graphics ,Intel® Arc™ A550M Graphics ,Intel® Arc™ A770 Graphics (16GB) ,Intel® Data Center GPU Flex 170 ,Intel® Data Center GPU Flex 140 ,Intel® Arc™ Pro A50 Graphics ,Intel® Arc™ Pro A40 Graphics ,Intel® Arc™ A530M Graphics ,Intel® Arc™ A570M Graphics ,Intel® Arc™ Pro A60M Graphics ,Intel® Data Center GPU Max 1550 ,Intel® Data Center GPU Max 1100 ,Intel® Arc™ Pro A60 Graphics ,Intel® Arc ™ A380E Graphics ,Intel® Arc ™ A370E Graphics ,Intel® Arc ™ A350E Graphics ,Intel® Arc ™ A310E Graphics ,Intel® Data Center GPU Flex 170V ,Intel® Arc ™ A580E Graphics ,Intel® Arc ™ A750E Graphics ,Intel® Arc™ B580 Graphics ,Intel® Arc™ B570 Graphics ,Intel® Arc™ Pro B50 Graphics ,Intel® Arc™ Pro B60 Graphics ,Intel® Arc™ Pro B65 Graphics ,Intel® Arc™ Pro B70 Graphics
Essentials
Model Number,Pro A30M,A750,A770,A310,A380,A580,A350M,A730M,A770M,A370M,A550M,A770,,,Pro A50,Pro A40,A530M,A570M,Pro A60M,,1100,Pro A60,A380E,A370E,A350E,A310E,,A580E,A750E,B580,B570,B50,B60,B65,B70
Microarchitecture,Xe HPG,Xe HPG,Xe HPG,Xe HPG,Xe HPG,Xe HPG,Xe HPG,Xe HPG,Xe HPG,Xe HPG,Xe HPG,Xe HPG,Xe-HPG,Xe-HPG,Xe HPG,Xe HPG,Xe HPG,Xe HPG,Xe HPG,Xe-HPC,Xe-HPC,Xe HPG,Xe HPG,Xe HPG,Xe HPG,Xe HPG,Xe-HPG,Xe HPG,Xe HPG,Xe2,Xe2,Xe2,Xe2,Xe2,Xe2
Lithography Type,TSMC N6,TSMC N6,TSMC N6,TSMC N6,TSMC N6,TSMC N6,TSMC N6,TSMC N6,TSMC N6,TSMC N6,TSMC N6,TSMC N6,,,TSMC N6,TSMC N6,TSMC N6,TSMC N6,TSMC N6,,,TSMC N6,TSMC N6,TSMC N6,TSMC N6,TSMC N6,,TSMC N6,TSMC N6,TSMC N5,TSMC N5,TSMC N5,TSMC N5,TSMC N5,TSMC N5
Vertical Segment,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,,,Desktop,Desktop,Mobile,Mobile,Mobile,,,,Embedded,Embedded,Embedded,Embedded,,Embedded,Embedded,Desktop,Desktop,,,,
Marketing Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
Launch Date,Q3'22,Q3'22,Q3'22,Q3'22,Q2'22,Q4'23,Q1' 22,Q2'22,Q2'22,Q1' 22,Q2'22,Q3'22,Q3'22,Q3'22,Q3'22,Q3'22,Q3'23,Q3'23,Q2'23,Q1'23,Q2'23,Q2'23,Q2'24,Q2'24,Q2'24,Q2'24,Q3'24,Q3'24,Q3'24,Q4'24,Q4'24,Q3'25,Q2'25,Q1'26,Q1'26
Embedded Options Available,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
Warranty Period,,,,,,,,,,,,,3  yrs,3  yrs,3  yrs,3  yrs,,,,3  yrs,3  yrs,3  yrs,,,,,3 yrs,,,,,3 yrs,,,3 yrs
Use Conditions,,,,,,,,,,,,,Server/Enterprise,Server/Enterprise,,,,,,Server/Enterprise,Server/Enterprise,,,,,,Server/Enterprise,,,,,,,,
Usecase,,,,,,,,,,,,,Cloud Computing,Cloud Computing,,,,,,Artificial Intelligence |  High Performance Computing,Artificial Intelligence |  High Performance Computing,,,,,,Cloud Computing,,,,,,,,
Expected Discontinuance,,,,,,,,,,,,,,,,,,,,Jan 2026,Jan 2026,July 2026,,,,,,,,,,,,,
Recommended Customer Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$249.00,,,,,

GPU Specifications
Xe-cores,8,28,32,6,8,24,6,24,32,8,16,32,32,16,8,8,12,16,16,128,56,16,8,8,6,6,32,24,28,20,18,16,20,20,32
Render Slices,2,7,8,2,2,6,2,6,8,2,4,8,8,4,2,2,3,4,4,,,4,2,2,2,2,8,6,7,5,5,4,5,5,8
Ray Tracing Units,8,28,32,6,8,24,6,24,32,8,16,32,32,16,8,8,12,16,16,128,56,16,8,8,6,6,32,24,28,20,18,16,20,20,32
Intel® Xe Matrix Extensions (Intel® XMX) Engines,128,448,512,96,128,384,96,384,512,128,256,512,512,256,128,128,192,256,256,1024,448,256,128,128,96,96,512,384,448,160,144,128,160,160,256
Xe Vector Engines,128,448,512,96,128,384,96,384,512,128,256,512,,,128,128,192,256,256,1024,448,256,128,128,96,96,,384,448,160,144,128,160,160,256
Execution Units,128,,,,,,96,384,512,128,256,,512,256,128,128,192,256,256,,,256,128,128,96,96,512,384,448,,,,,,
