Intel® Product Specification Comparison
08/27/2026 11:49:00 AM
 ,Intel Atom® Processor C2316 ,Intel Atom® Processor C2516 ,Intel Atom® Processor P5362 ,Intel Atom® Processor P5352 ,Intel Atom® Processor P5342 ,Intel Atom® Processor P5332 ,Intel Atom® Processor P5322 ,Intel Atom® Processor C5325 ,Intel Atom® Processor C5320 ,Intel Atom® Processor C5315 ,Intel Atom® Processor C5310 ,Intel Atom® Processor C5125 ,Intel Atom® Processor C5115 ,Intel Atom® Processor C3336 ,Intel Atom® Processor P5931B ,Intel Atom® Processor P5962B ,Intel Atom® Processor P5921B ,Intel Atom® Processor P5942B ,Intel Atom® Processor C3338R ,Intel Atom® Processor C3758R ,Intel Atom® Processor C3558R ,Intel Atom® Processor C3436L ,Intel Atom® x6425RE Processor ,Intel Atom® x6427FE Processor ,Intel Atom® x6414RE Processor ,Intel Atom® x6212RE Processor ,Intel Atom® x6200FE Processor ,Intel Atom® x6211E Processor ,Intel Atom® x6425E Processor ,Intel Atom® x6413E Processor ,Intel Atom® Processor P5742 ,Intel Atom® Processor P5721 ,Intel Atom® Processor P5752 ,Intel Atom® Processor P5731 ,Intel Atom® x6416RE Processor ,Intel Atom® x6214RE Processor ,Intel Atom® x7213E Processor ,Intel Atom® x7211E Processor ,Intel Atom® x7425E Processor ,Intel Atom® x7809C Processor ,Intel Atom® x7405C Processor ,Intel Atom® x7213RE Processor ,Intel Atom® x7433RE Processor ,Intel Atom® x7835RE Processor ,Intel Atom® x7203C Processor ,Intel Atom® x7211RE Processor ,Intel Atom® Processor C5335C1 ,Intel Atom® P6952-3 Processor ,Intel Atom® P6942-3 Processor ,Intel Atom® P6962-3 Processor ,Intel Atom® P6962-5 Processor ,Intel Atom® x7835FE Processor ,Intel Atom® x7433FE Processor ,Intel Atom® P6942-5 Processor ,Intel Atom® P6922-3 Processor ,Intel Atom® Processor C2338 ,Intel Atom® Processor C2350 ,Intel Atom® Processor C2358 ,Intel Atom® Processor C2518 ,Intel Atom® Processor C2530 ,Intel Atom® Processor C2538 ,Intel Atom® Processor C2550 ,Intel Atom® Processor C2558 ,Intel Atom® Processor C2718 ,Intel Atom® Processor C2730 ,Intel Atom® Processor C2738 ,Intel Atom® Processor C2750 ,Intel Atom® Processor C2758 ,Intel Atom® Processor C2508 ,Intel Atom® Processor C2308 ,Intel Atom® x5-Z8500 Processor ,Intel Atom® x7-Z8700 Processor ,Intel Atom® x5-Z8300 Processor ,Intel Atom® x3-C3445 Processor ,Intel Atom® x3-C3230RK Processor ,Intel Atom® x3-C3405 Processor ,Intel Atom® x3-C3200RK Processor ,Intel Atom® x5-Z8330 Processor ,Intel Atom® x5-E8000 Processor ,Intel Atom® x5-Z8550 Processor ,Intel Atom® x5-Z8350 Processor ,Intel Atom® x7-Z8750 Processor ,Intel Atom® x3-C3235RK Processor ,Intel Atom® x3-C3205RK Processor ,Intel Atom® x5-E3940 Processor ,Intel Atom® x5-E3930 Processor ,Intel Atom® x7-E3950 Processor ,Intel Atom® x3-C3265RK Processor ,Intel Atom® x3-C3295RK Processor ,Intel Atom® Processor C3758 ,Intel Atom® Processor C3958 ,Intel Atom® Processor C3338 ,Intel Atom® Processor C3538 ,Intel Atom® Processor C3508 ,Intel Atom® Processor C3830 ,Intel Atom® Processor C3850 ,Intel Atom® Processor C3955 ,Intel Atom® Processor C3708 ,Intel Atom® Processor C3308 ,Intel Atom® Processor C3858 ,Intel Atom® Processor C3558 ,Intel Atom® Processor C3750 ,Intel Atom® Processor C3808 ,Intel Atom® Processor C3950
Essentials
Product Collection,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor C Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series
Vertical Segment,Embedded,Embedded,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Server,Server,Server,Server,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Server,Server,Server,Server,Server,Embedded,Embedded,Server,Server,Embedded,Server,Embedded,Embedded,Server,Embedded,Server,Embedded,Embedded,Server,Embedded,Server,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Mobile,Mobile,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server
Processor Number,C2316,C2516,P5362,P5352,P5342,P5332,P5322,C5325,C5320,C5315,C5310,C5125,C5115,C3336,P5931B,P5962B,P5921B,P5942B,C3338R,C3758R,C3558R,C3436L,6425RE,6427FE,6414RE,6212RE,6200FE,6211E,6425E,6413E,P5742,P5721,P5752,P5731,6416RE,X6214RE,X7213E,X7211E,X7425E,X7809C,X7405C,X7213RE,X7433RE,X7835RE,X7203C,X7211RE,C5335C1,P6952-3,P6942-3,P6962-3,P6962-5,X7835FE,X7433FE,P6942-5,P6922-3,C2338,C2350,C2358,C2518,C2530,C2538,C2550,C2558,C2718,C2730,C2738,C2750,C2758,C2508,C2308,x5-Z8500,x7-Z8700,x5-Z8300,x3-C3445,x3-C3230RK,x3-C3405,x3-C3200RK,x5-Z8330,E8000,x5-Z8550,x5-Z8350,x7-Z8750,x3-C3235RK,x3-3205RK,E3940,E3930,E3950,x3-C3265RK,x3-C3295RK,C3758,C3958,C3338,C3538,C3508,C3830,C3850,C3955,C3708,C3308,C3858,C3558,C3750,C3808,C3950
Lithography,22 nm,22 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,14 nm,10 nm,10 nm,10 nm,10 nm,14 nm,14 nm,14 nm,14 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,10 nm,Intel 4,Intel 4,Intel 4,Intel 4,Intel 7,Intel 7,Intel 4,Intel 4,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,14 nm,14 nm,14 nm,28 nm,28 nm,28 nm,28 nm,14 nm,14 nm,14 nm,14 nm,14 nm,28 nm,28 nm,14 nm,14 nm,14 nm,28 nm,28 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Recommended Customer Price,,,$793.00,$732.00,$708.00,$502.00,$394.00,$335.00,$358.00,$239.00,$239.00,$335.00,$239.00,$41.00,,,,,$42.00,$251.00,$110.00,$73.00,$71.00,$83.00,$55.00,$45.00,$45.00,$42.00,$67.00,$51.00,$842.00,$439.00,$855.00,$628.00,$63.00,$47.00,$47.00,$39.00,$58.00,$117.00,$57.00,$47.00,$63.00,$127.00,$39.00,$42.00,$418.00,,,,,$150.00,$75.00,,,,$43.00,,,$70.00,,$86.00,,,$150.00,$208.00,$171.00,$208.00,,,,,,,,,,,$18.00,$32.00,,$45.00,,,$34.00,$26.00,$45.00,,,$232.00,$538.00,$41.00,$86.00,$98.00,,$388.00,$520.00,$251.00,$47.00,$398.00,$98.00,$205.00,$442.00,$467.00

CPU Specifications
Total Cores,2,4,24,20,16,12,8,8,8,4,4,8,4,2,12,24,8,16,2,8,4,4,4,4,4,2,2,2,4,4,16,8,20,12,4,2,2,2,4,8,4,2,4,8,2,2,12,20,16,24,24,8,4,16,8,2,2,2,4,4,4,4,4,8,8,8,8,8,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,8,16,2,4,4,12,12,16,8,2,12,4,8,12,16
Total Threads,2,4,24,20,16,12,8,8,8,4,4,8,4,2,12,24,8,16,2,8,4,4,4,4,4,2,2,2,4,4,16,8,20,12,4,2,,,,,,,,,,,12,20,16,24,24,,,16,8,2,2,2,4,4,4,4,4,8,8,8,8,8,4,2,,,,,,,,,4,,,,,,4,2,4,,,8,16,2,4,4,12,12,16,8,2,12,4,8,12,16
