Intel® Product Specification Comparison
09/10/2026 12:23:16 PM
 ,Intel® Core™ Ultra 9 Processor 275HX ,Intel® Core™ Ultra 7 Processor 265HX ,Intel® Core™ Ultra 5 Processor 245HX ,Intel® Core™ Ultra 5 Processor 235HX ,Intel® Core™ Ultra 9 Processor 285HX ,Intel® Core™ 5 Processor 211E ,Intel® Core™ 5 Processor 221E ,Intel® Core™ 5 Processor 221TE ,Intel® Core™ 3 Processor 201TE ,Intel® Core™ 7 Processor 251TE ,Intel® Core™ 5 Processor 211TE ,Intel® Core™ 7 Processor 251E ,Intel® Core™ 3 Processor 201E ,Intel® Core™ Ultra 5 Processor 235TA ,Intel® Core™ Ultra 5 Processor 235A ,Intel® Core™ Ultra 5 Processor 235UA ,Intel® Core™ Ultra X7 Processor 368H ,Intel® Core™ Ultra X9 Processor 388H ,Intel® Core™ Ultra X7 Processor 358H ,Intel® Core™ Ultra 9 Processor 386H ,Intel® Core™ Ultra 7 Processor 366H ,Intel® Core™ Ultra 5 Processor 338H ,Intel® Core™ Ultra 7 Processor 356H ,Intel® Core™ Ultra 5 Processor 336H ,Intel® Core™ Ultra 5 processor 250KF Plus ,Intel® Core™ Ultra 7 processor 270K Plus ,Intel® Core™ Ultra 5 processor 250K Plus ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ 5 Processor 223PQE ,Intel® Core™ 5 Processor 213PE ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ 9 Processor 273PE ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ 9 Processor 273PTE ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ 5 Processor 223PTE ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ 7 Processor 253PTE ,Intel® Core™ 9 Processor 273PQE ,Intel® Core™ 7 Processor 253PE ,Intel® Core™ 5 Processor 213PTE ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Core™ 5 Processor 223PE ,Intel® Core™ 7 Processor 253PQE ,Intel® Core™ Ultra 7 processor 251HX ,Intel® Core™ Ultra 9 processor 290HX Plus ,Intel® Core™ Ultra 7 processor 270HX Plus ,Intel® Core™ 7 processor 360 ,Intel® Core™ 5 processor 330 ,Intel® Core™ 7 processor 350 ,Intel® Core™ 5 processor 320 ,Intel® Core™ 3 processor 305 ,Intel® Core™ 3 processor 304 ,Intel® Core™ 5 processor 315 ,Intel® Core™ Ultra X9 processor 378H ,Intel® Core™ Ultra 9 Processor 275HX ,Intel® Core™ Ultra 7 Processor 265HX ,Intel® Core™ Ultra 5 Processor 245HX ,Intel® Core™ Ultra 5 Processor 235HX ,Intel® Core™ Ultra 9 Processor 285HX ,Intel® Core™ 5 Processor 211E ,Intel® Core™ 5 Processor 221E ,Intel® Core™ 5 Processor 221TE ,Intel® Core™ 3 Processor 201TE ,Intel® Core™ 7 Processor 251TE ,Intel® Core™ 5 Processor 211TE ,Intel® Core™ 7 Processor 251E ,Intel® Core™ 3 Processor 201E ,Intel® Core™ Ultra 5 Processor 235TA ,Intel® Core™ Ultra 5 Processor 235A ,Intel® Core™ Ultra 5 Processor 235UA ,Intel® Core™ Ultra X7 Processor 368H ,Intel® Core™ Ultra X9 Processor 388H ,Intel® Core™ Ultra X7 Processor 358H ,Intel® Core™ Ultra 9 Processor 386H ,Intel® Core™ Ultra 7 Processor 366H ,Intel® Core™ Ultra 5 Processor 338H ,Intel® Core™ Ultra 7 Processor 356H ,Intel® Core™ Ultra 5 Processor 336H ,Intel® Core™ Ultra 5 processor 250KF Plus ,Intel® Core™ Ultra 7 processor 270K Plus ,Intel® Core™ Ultra 5 processor 250K Plus ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ 5 Processor 223PQE ,Intel® Core™ 5 Processor 213PE ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ 9 Processor 273PE ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ 9 Processor 273PTE ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ 5 Processor 223PTE ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ 7 Processor 253PTE ,Intel® Core™ 9 Processor 273PQE ,Intel® Core™ 7 Processor 253PE ,Intel® Core™ 5 Processor 213PTE ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Core™ 5 Processor 223PE ,Intel® Core™ 7 Processor 253PQE ,Intel® Core™ Ultra 7 processor 251HX ,Intel® Core™ Ultra 9 processor 290HX Plus ,Intel® Core™ Ultra 7 processor 270HX Plus ,Intel® Core™ 7 processor 360 ,Intel® Core™ 5 processor 330 ,Intel® Core™ 7 processor 350 ,Intel® Core™ 5 processor 320 ,Intel® Core™ 3 processor 305 ,Intel® Core™ 3 processor 304 ,Intel® Core™ 5 processor 315 ,Intel® Core™ Ultra X9 processor 378H
Essentials
Product Collection,Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel® Core™ Ultra Series 3 processors
Vertical Segment,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Mobile,Embedded,Embedded,Mobile,Embedded,Mobile,Embedded,Mobile,Embedded,Mobile,Embedded,Embedded,Embedded,Embedded,Mobile,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Mobile,Embedded,Embedded,Mobile,Embedded,Mobile,Embedded,Mobile,Embedded,Mobile,Embedded,Embedded,Embedded,Embedded,Mobile,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Mobile,Mobile,Mobile
Processor Number,275HX,265HX,245HX,235HX,285HX,211E,221E,221TE,201TE,251TE,211TE,251E,201E,235TA,235A,235UA,368H,388H,358H,386H,366H,338H,356H,336H,250KF PLUS,270K PLUS,250K PLUS,365,223PQE,213PE,322,273PE,332,273PTE,325,223PTE,355,253PTE,273PQE,253PE,213PTE,335,223PE,253PQE,251HX,290HX Plus,270HX Plus,360,330,350,320,305,304,315,378H,275HX,265HX,245HX,235HX,285HX,211E,221E,221TE,201TE,251TE,211TE,251E,201E,235TA,235A,235UA,368H,388H,358H,386H,366H,338H,356H,336H,250KF PLUS,270K PLUS,250K PLUS,365,223PQE,213PE,322,273PE,332,273PTE,325,223PTE,355,253PTE,273PQE,253PE,213PTE,335,223PE,253PQE,251HX,290HX Plus,270HX Plus,360,330,350,320,305,304,315,378H
Overall Peak TOPS (Int8),36,33,27,27,36,,,,,,,,,27,27,24,,,,,,,,,22,36,30,,,,,,,,,,,,,,,,,,30,36,33,,,,,,,,,36,33,27,27,36,,,,,,,,,27,27,24,,,,,,,,,22,36,30,,,,,,,,,,,,,,,,,,30,36,33,,,,,,,,
Recommended Customer Price,$384.00,$384.00-$394.00,$359.00-$369.00,$384.00,$319.00,$294.00-$304.00,$221.00-$231.00,$589.00,$564.00,$549.00,$549.00-$579.00,$409.00,$196.00-$206.00,$524.00-$554.00,,$255.00,$134.00-$144.00,$109.00-$119.00,$221.00,$232.00,$134.00,$232.00-$242.00,$554.00,,,$137.00,,$235.00,,,,,$390.00,,$315.00,$235.00,,,,,,,,,,,$224.00,,$460.00,$312.00,$317.00,,,,,$315.00,,,$554.00,$137.00,,,$689.00,$390.00,$312.00,,,,$441.00,,$312.00,$429.00,$312.00,$312.00,,,$507.00,$347.00,$341.00,$477.00,$345.00,$496.00,$343.00,$493.00,$463.00,$340.00,$338.00,,,,,,$589.00-$599.00,$134.00-$144.00,$134.00,,$196.00-$206.00,$294.00-$304.00,$232.00,$384.00-$394.00,$255.00,$409.00-$419.00,$232.00-$242.00,$109.00-$119.00,$564.00-$574.00,$221.00-$231.00,$384.00-$394.00,$221.00,$549.00,$549.00-$579.00,$384.00,,,$319.00-$329.00,$255.00,,,,,,$524.00-$554.00,$359.00-$369.00,,,,,$689.00-$699.00,,,,,$392.00,$392.00,,$228.00,$557.00,$228.00,$277.00,$399.00,$309.00,$285.00,$426.00,$239.00,$239.00,$557.00,$295.00,$325.00,$309.00,$341.00,$331.00,$438.00,$426.00,$459.00,$447.00,$430.00,$279.00,$306.00,$457.00,$311.00,,,,,,,,,,$549.00,$589.00-$599.00,$549.00-$579.00,$379.00-$389.00,$394.00-$404.00,$369.00-$379.00,$384.00,$294.00-$304.00,$309.00-$319.00,$384.00-$394.00,$165.00-$221.00,$183.00-$236.00,,,,,$247.00-$257.00,,,,,,,,,,$236.00,$247.00,$270.00,$270.00,,,,,,,,$221.00,$232.00,$232.00,$134.00,$384.00,$221.00,$384.00,$134.00,$269.00,$269.00,,,,,,,,,,$204.00-$214.00,$339.00-$349.00,$219.00-$229.00,,$319.00,$221.00,,$549.00,,$549.00,,$232.00,,$384.00,$589.00,$384.00,$221.00,,$232.00,$409.00,,,,,,,,,,,

CPU Specifications
Total Cores,24,20,14,14,24,10,14,14,4,24,10,24,4,14,14,10,16,16,16,16,16,12,16,12,18,24,18,8,8,8,6,12,6,12,8,8,8,10,12,10,8,8,8,10,18,24,20,6,6,6,6,6,5,6,16,24,20,14,14,24,10,14,14,4,24,10,24,4,14,14,10,16,16,16,16,16,12,16,12,18,24,18,8,8,8,6,12,6,12,8,8,8,10,12,10,8,8,8,10,18,24,20,6,6,6,6,6,5,6,16
# of Performance-cores,8,8,6,6,8,6,6,6,4,8,6,8,4,6,6,2,4,4,4,4,4,4,4,4,6,8,6,4,8,8,2,12,2,12,4,8,4,10,12,10,8,4,8,10,6,8,8,2,2,2,2,2,1,2,4,8,8,6,6,8,6,6,6,4,8,6,8,4,6,6,2,4,4,4,4,4,4,4,4,6,8,6,4,8,8,2,12,2,12,4,8,4,10,12,10,8,4,8,10,6,8,8,2,2,2,2,2,1,2,4
