Intel® Product Specification Comparison
09/10/2026 12:29:16 PM
 ,Intel® Processor N100 ,Intel® Processor N200 ,Intel® Processor U300 ,Intel® Processor N97 ,Intel® Processor U300E ,Intel® Processor 300 ,Intel® Processor 300T ,Intel® Processor U300L ,Intel® Processor U302L ,Intel® Processor U303L ,Intel® Processor U301L ,Intel® Processor N150 ,Intel® Processor N250 ,Intel® Arc™ G3 Extreme Processor ,Intel® Arc™ G3  Processor
Essentials
Product Collection,Intel® Processor N-series,Intel® Processor N-series,Intel® Processor U-series,Intel® Processor N-series,Intel® Processor U-series,Intel® Processor for Desktop,Intel® Processor for Desktop,Intel® Processor U-series,Intel® Processor U-series,Intel® Processor U-series,Intel® Processor U-series,Intel® Processor N-series,Intel® Processor N-series,Intel® Arc™ G3 Processor Series,Intel® Arc™ G3 Processor Series
Vertical Segment,Mobile,Mobile,Mobile,Embedded,Embedded,Desktop,Desktop,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile
Processor Number,N100,N200,U300,N97,U300E,300,300T,U300L,U302L,U303L,U301L,N150,N250,G3 Extreme,G3
Lithography,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,,,,,Intel 7,Intel 7,,
Recommended Customer Price,,,,$128.00,$196.00,$82.00-$92.00,$82.00,$107.00,$285.00,$285.00,$107.00,,,,

CPU Specifications
Total Cores,4,4,5,4,5,2,2,5,5,5,5,4,4,14,14
Total Threads,4,4,6,,6,4,4,6,6,6,6,4,4,14,14
Max Turbo Frequency,3.40 GHz,3.70 GHz,4.40 GHz,3.60 GHz,4.30 GHz,,,4.4 GHz,2.4 GHz,2.6 GHz,2.2 GHz,3.6 GHz,3.8 GHz,4.7 GHz,4.6 GHz
Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB,10 MB,12 MB,8 MB,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache
TDP,6 W,6 W,,12 W,,,,,,,,,,,
# of Performance-cores,,,1,,1,2,2,1,1,1,1,,,2,2
# of Efficiency-cores,,,4,,4,0,0,4,4,4,4,,,8,8
Single P-core Turbo Frequency,,,4.40 GHz,,4.30 GHz,,,4.4 GHz,2.4 GHz,2.6 GHz,2.2 GHz,,,4.7 GHz,4.6 GHz
Single E-core Turbo Frequency,,,3.30 GHz,,3.20 GHz,,,3.3 GHz,1.8 GHz,2 GHz,1.6 GHz,,,3.4 GHz,3.3 GHz
Processor Base Power,,,15 W,,15 W,46 W,35 W,15 W,15 W,15 W,15 W,6 W,6 W,25 W,25 W
Maximum Turbo Power,,,55 W,,55 W,,,55 W,55 W,55 W,55 W,,,80 W,80 W
Minimum Assured Power,,,12 W,,12 W,,,12 W,12 W,12 W,12 W,,,15 W,15 W
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes
Processor Base Frequency,,,,,1.10 GHz,,,,,,,,,,
Minimum Assured Frequency,,,,,800 MHz,,,,,,,,,,
Maximum Assured Power,,,,,28 W,,,28 W,28 W,28 W,28 W,,,,
Maximum Assured Frequency,,,,,2.50 GHz,,,,,,,,,,
P-core Base Frequency,,,,,,3.9 GHz,3.4 GHz,,,,,,,1.9 GHz,1.9 GHz
Total L2 Cache,,,,,,2.5 MB,2.5 MB,,,,,,,,
# of Low Power Efficient-cores,,,,,,,,,,,,,,4,4
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,,,,,,,,,,,,,,4.7 GHz,4.6 GHz
Low Power Efficient-core Max Turbo Frequency,,,,,,,,,,,,,,3.1 GHz,3.1 GHz
