Intel® Product Specification Comparison
08/27/2026 11:07:26 AM
 ,Intel® Core™ Ultra 7 Processor 155H ,Intel® Core™ Ultra 5 Processor 125H ,Intel® Core™ Ultra 9 Processor 185H ,Intel® Core™ Ultra 5 Processor 135H ,Intel® Core™ Ultra 7 Processor 165H ,Intel® Core™ Ultra 7 Processor 155U ,Intel® Core™ Ultra 5 Processor 135U ,Intel® Core™ Ultra 7 Processor 165U ,Intel® Core™ Ultra 5 Processor 125U ,Intel® Core™ Ultra 5 Processor 134U ,Intel® Core™ Ultra 7 Processor 164U ,Intel® Core™ Ultra 3 Processor 105UL ,Intel® Core™ Ultra 5 Processor 125HL ,Intel® Core™ Ultra 5 Processor 125UL ,Intel® Core™ Ultra 5 Processor 135HL ,Intel® Core™ Ultra 5 Processor 135UL ,Intel® Core™ Ultra 7 Processor 155HL ,Intel® Core™ Ultra 7 Processor 155UL ,Intel® Core™ Ultra 7 Processor 165HL ,Intel® Core™ Ultra 7 Processor 165UL ,Intel® Core™ Ultra 5 Processor 238V ,Intel® Core™ Ultra 7 Processor 256V ,Intel® Core™ Ultra 5 Processor 228V ,Intel® Core™ Ultra 7 Processor 266V ,Intel® Core™ Ultra 7 Processor 258V ,Intel® Core™ Ultra 7 Processor 268V ,Intel® Core™ Ultra 5 Processor 236V ,Intel® Core™ Ultra 5 Processor 226V ,Intel® Core™ Ultra 9 Processor 288V ,Intel® Core™ Ultra 9 Processor 285T ,Intel® Core™ Ultra 9 Processor 285K ,Intel® Core™ Ultra 9 Processor 285 ,Intel® Core™ Ultra 7 Processor 265KF ,Intel® Core™ Ultra 7 Processor 265K ,Intel® Core™ Ultra 7 Processor 265F ,Intel® Core™ Ultra 7 Processor 265T ,Intel® Core™ Ultra 5 Processor 245KF ,Intel® Core™ Ultra 5 Processor 245K ,Intel® Core™ Ultra 7 Processor 265 ,Intel® Core™ Ultra 5 Processor 225F ,Intel® Core™ Ultra 5 Processor 225 ,Intel® Core™ Ultra 5 Processor 235 ,Intel® Core™ Ultra 9 Processor 285H ,Intel® Core™ Ultra 5 Processor 235H ,Intel® Core™ Ultra 5 Processor 225H ,Intel® Core™ Ultra 7 Processor 265H ,Intel® Core™ Ultra 7 Processor 255H ,Intel® Core™ Ultra 7 Processor 265U ,Intel® Core™ Ultra 7 Processor 255U ,Intel® Core™ Ultra 5 Processor 225U ,Intel® Core™ Ultra 5 Processor 235U ,Intel® Core™ Ultra 5 Processor 225T ,Intel® Core™ Ultra 5 Processor 235T ,Intel® Core™ Ultra 5 Processor 245T ,Intel® Core™ Ultra 5 Processor 245 ,Intel® Core™ Ultra 7 Processor 255HX ,Intel® Core™ Ultra 9 Processor 275HX ,Intel® Core™ Ultra 7 Processor 265HX ,Intel® Core™ Ultra 5 Processor 245HX ,Intel® Core™ Ultra 5 Processor 235HX ,Intel® Core™ Ultra 9 Processor 285HX ,Intel® Core™ Ultra 5 Processor 235TA ,Intel® Core™ Ultra 5 Processor 235A ,Intel® Core™ Ultra 5 Processor 235UA ,Intel® Core™ Ultra X7 Processor 368H ,Intel® Core™ Ultra X9 Processor 388H ,Intel® Core™ Ultra X7 Processor 358H ,Intel® Core™ Ultra 9 Processor 386H ,Intel® Core™ Ultra 7 Processor 366H ,Intel® Core™ Ultra 5 Processor 338H ,Intel® Core™ Ultra 7 Processor 356H ,Intel® Core™ Ultra 5 Processor 336H ,Intel® Core™ Ultra 5 processor 250KF Plus ,Intel® Core™ Ultra 7 processor 270K Plus ,Intel® Core™ Ultra 5 processor 250K Plus ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Core™ Ultra 7 processor 251HX ,Intel® Core™ Ultra 9 processor 290HX Plus ,Intel® Core™ Ultra 7 processor 270HX Plus ,Intel® Core™ Ultra X9 processor 378H
Essentials
Product Collection,Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Series 3 processors
Vertical Segment,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile
Processor Number,155H,125H,185H,135H,165H,155U,135U,165U,125U,134U,164U,105UL,125HL,125UL,135HL,135UL,155HL,155UL,165HL,165UL,238V,256V,228V,266V,258V,268V,236V,226V,288V,285T,285K,285,265KF,265K,265F,265T,245KF,245K,265,225F,225,235,285H,235H,225H,265H,255H,265U,255U,225U,235U,225T,235T,245T,245,255HX,275HX,265HX,245HX,235HX,285HX,235TA,235A,235UA,368H,388H,358H,386H,366H,338H,356H,336H,250KF PLUS,270K PLUS,250K PLUS,365,322,332,325,355,335,251HX,290HX Plus,270HX Plus,378H
Overall Peak TOPS (Int8),33,33,35,33,34,22,22,22,21,21,21,,,,,,,,,,97,115,97,118,115,118,97,97,120,35,36,36,25,33,25,33,22,30,33,19,23,27,99,94,83,97,96,24,24,24,24,23,27,29,29,33,36,33,27,27,36,27,27,24,,,,,,,,,22,36,30,,,,,,,30,36,33,
Recommended Customer Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

CPU Specifications
Total Cores,16,14,16,14,16,12,12,12,12,12,12,8,14,12,14,12,16,12,16,12,8,8,8,8,8,8,8,8,8,24,24,24,20,20,20,20,14,14,20,10,10,14,16,14,14,16,16,12,12,12,12,10,14,14,14,20,24,20,14,14,24,14,14,10,16,16,16,16,16,12,16,12,18,24,18,8,6,6,8,8,8,18,24,20,16
# of Performance-cores,6,4,6,4,6,2,2,2,2,2,2,2,4,2,4,2,6,2,6,2,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,6,6,8,6,6,6,6,4,4,6,6,2,2,2,2,6,6,6,6,8,8,8,6,6,8,6,6,2,4,4,4,4,4,4,4,4,6,8,6,4,2,2,4,4,4,6,8,8,4
