Intel® Product Specification Comparison
08/27/2026 11:10:59 AM
 ,Intel® Core™ i9 processor 14900HX ,Intel® Core™ i7 processor 14650HX ,Intel® Core™ i7 processor 14700HX ,Intel® Core™ i5 processor 14450HX ,Intel® Core™ i5 processor 14500HX ,Intel® Core™ i9 processor 14900K ,Intel® Core™ i3 processor 14100 ,Intel® Core™ i3 processor 14100T ,Intel® Core™ 3 processor 100U ,Intel® Core™ i5 processor 14400F ,Intel® Core™ i5 processor 14600KF ,Intel® Core™ i5 processor 14500T ,Intel® Core™ i7 processor 14700 ,Intel® Core™ i5 processor 14600T ,Intel® Core™ i7 processor 14700K ,Intel® Core™ i5 processor 14500 ,Intel® Core™ i3 processor 14100F ,Intel® Core™ i9 processor 14900KF ,Intel® Core™ i5 processor 14400 ,Intel® Core™ i7 processor 14700KF ,Intel® Core™ i5 processor 14400T ,Intel® Core™ i9 processor 14900T ,Intel® Core™ i9 processor 14900 ,Intel® Core™ i7 processor 14700T ,Intel® Core™ 7 processor 150U ,Intel® Core™ 5 processor 120U ,Intel® Core™ i5 processor 14600K ,Intel® Core™ i5 processor 14600 ,Intel® Core™ i9 processor 14900F ,Intel® Core™ i7 processor 14700F ,Intel® Core™ i9 processor 14900KS ,Intel® Core™ 3 processor 100U ,Intel® Core™ 7 processor 250U ,Intel® Core™ i7 processor 14701TE ,Intel® Core™ i7 processor 14701E ,Intel® Core™ 5 processor 220U ,Intel® Core™ i5 processor 14401E ,Intel® Core™ i9 processor 14901TE ,Intel® Core™ i5 processor 14401TE ,Intel® Core™ 5 processor 120UL ,Intel® Core™ 7 processor 150UL ,Intel® Core™ 5 processor 130UL ,Intel® Core™ 3 processor 100UL ,Intel® Core™ 7 processor 160UL ,Intel® Core™ i5 processor 14501TE ,Intel® Core™ i5 processor 14501E ,Intel® Core™ i9 processor 14901E ,Intel® Core™  7 processor 150HL ,Intel® Core™ 5 processor 120HL ,Intel® Core™ 3 processor 100HL ,Intel® Core™ 7 processor 160HL ,Intel® Core™ 5 processor 130HL ,Intel® Core™ 7 processor 250H ,Intel® Core™ 5 processor 210H ,Intel® Core™ 7 processor 240H ,Intel® Core™ 5 processor 220H ,Intel® Core™ 9 processor 270H ,Intel® Core™ 5 Processor 211E ,Intel® Core™ 5 Processor 221E ,Intel® Core™ 5 Processor 221TE ,Intel® Core™ 3 Processor 201TE ,Intel® Core™ 7 Processor 251TE ,Intel® Core™ 5 Processor 211TE ,Intel® Core™ 7 Processor 251E ,Intel® Core™ 3 Processor 201E ,Intel® Core™ 5 Processor 223PQE ,Intel® Core™ 5 Processor 213PE ,Intel® Core™ 9 Processor 273PE ,Intel® Core™ 9 Processor 273PTE ,Intel® Core™ 5 Processor 223PTE ,Intel® Core™ 7 Processor 253PTE ,Intel® Core™ 9 Processor 273PQE ,Intel® Core™ 7 Processor 253PE ,Intel® Core™ 5 Processor 213PTE ,Intel® Core™ 5 Processor 223PE ,Intel® Core™ 7 Processor 253PQE ,Intel® Core™ 7 processor 360 ,Intel® Core™ 5 processor 330 ,Intel® Core™ 7 processor 350 ,Intel® Core™ 5 processor 320 ,Intel® Core™ 3 processor 305 ,Intel® Core™ 3 processor 304 ,Intel® Core™ 5 processor 315
Essentials
Product Collection,Intel® Core™ i9 Processors (14th gen),Intel® Core™ i7 processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i3 Processors (14th gen),Intel® Core™ i3 Processors (14th gen),Intel® Core™ processors (Series 1),Intel® Core™ i5 processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i3 Processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i5 processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i5 processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ processors (Series 1),Intel® Core™ processors (Series 1),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i5 Processors (14th gen),Intel® Core™ i9 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i9 processors (14th gen),Intel® Core™ processors (Series 1),Intel® Core™ processors (Series 2),Intel® Core™ i7 processors (14th gen),Intel® Core™ i7 processors (14th gen),Intel® Core™ processors (Series 2),Intel® Core™ i5 processors (14th gen),Intel® Core™ i9 processors (14th gen),Intel® Core™ i5 processors (14th gen),Intel® Core™ processors (Series 1),Intel® Core™ processors (Series 1),Intel® Core™ processors (Series 1),Intel® Core™ processors (Series 1),Intel® Core™ processors (Series 1),Intel® Core™ i5 processors (14th gen),Intel® Core™ i5 processors (14th gen),Intel® Core™ i9 processors (14th gen),Intel® Core™ processors (Series 1),Intel® Core™ processors (Series 1),Intel® Core™ processors (Series 1),Intel® Core™ processors (Series 1),Intel® Core™ processors (Series 1),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3)
Vertical Segment,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Embedded,Embedded,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Embedded,Mobile,Mobile
Processor Number,i9-14900HX,i7-14650HX,i7-14700HX,i5-14450HX,i5-14500HX,i9-14900K,i3-14100,i3-14100T,100U,i5-14400F,i5-14600KF,i5-14500T,i7-14700,i5-14600T,i7-14700K,i5-14500,i3-14100F,i9-14900KF,i5-14400,i7-14700KF,i5-14400T,i9-14900T,i9-14900,i7-14700T,150U,120U,i5-14600K,i5-14600,i9-14900F,i7-14700F,i9-14900KS,100U,250U,i7-14701TE,i7-14701E,220U,i5-14401E,i9-14901TE,i5-14401TE,120UL,150UL,130UL,100UL,160UL,i5-14501TE,i5-14501E,i9-14901E,150HL,120HL,100HL,160HL,130HL,250H,210H,240H,220H,270H,211E,221E,221TE,201TE,251TE,211TE,251E,201E,223PQE,213PE,273PE,273PTE,223PTE,253PTE,273PQE,253PE,213PTE,223PE,253PQE,360,330,350,320,305,304,315
Lithography,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,,,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,,,Intel 7,Intel 7,,Intel 7,Intel 7,Intel 7,,,,,,Intel 7,Intel 7,Intel 7,,,,,,,,Intel 7,,Intel 7,,,,,,,,,,,,,,,,,,,,,,,,,,
Recommended Customer Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

CPU Specifications
Total Cores,24,16,20,10,14,24,4,4,6,10,14,14,20,14,20,14,4,24,10,20,10,24,24,20,10,10,14,14,24,20,24,6,10,8,8,10,6,8,6,10,10,10,6,10,6,6,8,14,12,8,14,12,14,8,10,12,14,10,14,14,4,24,10,24,4,8,8,12,12,8,10,12,10,8,8,10,6,6,6,6,6,5,6
# of Performance-cores,8,8,8,6,6,8,4,4,2,6,6,6,8,6,8,6,4,8,6,8,6,8,8,8,2,2,6,6,8,8,8,2,2,8,8,2,6,8,6,2,2,2,2,2,6,6,8,6,4,4,6,4,6,4,6,4,6,6,6,6,4,8,6,8,4,8,8,12,12,8,10,12,10,8,8,10,2,2,2,2,2,1,2
